Comune;Codice ISTAT;Abitanti;Positivi;Rapporto;Data
Antrona Schieranco;103001;-1;2;4.769999980926514;2020/12/25
Anzola d'Ossola;103002;-1;0;0;2020/12/25
Arizzano;103003;-1;8;3.9800000190734863;2020/12/25
Arola;103004;-1;0;0;2020/12/25
Aurano;103005;-1;0;0;2020/12/25
Baceno;103006;-1;4;4.460000038146973;2020/12/25
Bannio Anzino;103007;-1;2;4.179999828338623;2020/12/25
Baveno;103008;-1;8;1.6299999952316284;2020/12/25
Bee;103009;-1;2;2.6500000953674316;2020/12/25
Belgirate;103010;-1;0;0;2020/12/25
Beura-Cardezza;103011;-1;7;4.769999980926514;2020/12/25
Bognanco;103012;-1;2;10.640000343322754;2020/12/25
Brovello-Carpugnino;103013;-1;2;2.809999942779541;2020/12/25
Calasca-Castiglione;103014;-1;1;1.6399999856948853;2020/12/25
Cambiasca;103015;-1;2;1.2300000190734863;2020/12/25
Cannero Riviera;103016;-1;2;2.200000047683716;2020/12/25
Cannobio;103017;-1;24;4.690000057220459;2020/12/25
Caprezzo;103018;-1;1;5.920000076293945;2020/12/25
Casale Corte Cerro;103019;-1;13;3.75;2020/12/25
Ceppo Morelli;103021;-1;0;0;2020/12/25
Cesara;103022;-1;2;3.369999885559082;2020/12/25
Cossogno;103023;-1;2;2.950000047683716;2020/12/25
Craveggia;103024;-1;1;1.309999942779541;2020/12/25
Crevoladossola;103025;-1;16;3.4800000190734863;2020/12/25
Crodo;103026;-1;2;1.4299999475479126;2020/12/25
Domodossola;103028;-1;75;4.130000114440918;2020/12/25
Druogno;103029;-1;6;5.639999866485596;2020/12/25
Formazza;103031;-1;1;2.259999990463257;2020/12/25
Germagno;103032;-1;1;5.260000228881836;2020/12/25
Ghiffa;103033;-1;14;5.949999809265137;2020/12/25
Gignese;103034;-1;0;0;2020/12/25
Gravellona Toce;103035;-1;17;2.180000066757202;2020/12/25
Gurro;103036;-1;0;0;2020/12/25
Intragna;103037;-1;0;0;2020/12/25
Loreglia;103038;-1;2;8.579999923706055;2020/12/25
Macugnaga;103039;-1;1;1.850000023841858;2020/12/25
Madonna del Sasso;103040;-1;0;0;2020/12/25
Malesco;103041;-1;3;2.180000066757202;2020/12/25
Masera;103042;-1;3;2.0299999713897705;2020/12/25
Massiola;103043;-1;0;0;2020/12/25
Mergozzo;103044;-1;8;3.700000047683716;2020/12/25
Miazzina;103045;-1;1;2.619999885559082;2020/12/25
Montecrestese;103046;-1;2;1.5700000524520874;2020/12/25
Montescheno;103047;-1;4;10.199999809265137;2020/12/25
Nonio;103048;-1;0;0;2020/12/25
Oggebbio;103049;-1;3;3.440000057220459;2020/12/25
Omegna;103050;-1;43;2.8299999237060547;2020/12/25
Ornavasso;103051;-1;13;3.7799999713897705;2020/12/25
Pallanzeno;103052;-1;3;2.609999895095825;2020/12/25
Piedimulera;103053;-1;2;1.309999942779541;2020/12/25
Pieve Vergonte;103054;-1;7;2.7799999713897705;2020/12/25
Premeno;103055;-1;1;1.3700000047683716;2020/12/25
Premia;103056;-1;0;0;2020/12/25
Premosello-Chiovenda;103057;-1;7;3.609999895095825;2020/12/25
Quarna Sopra;103058;-1;1;3.9700000286102295;2020/12/25
Quarna Sotto;103059;-1;1;2.5999999046325684;2020/12/25
Re;103060;-1;4;5.429999828338623;2020/12/25
San Bernardino Verbano;103061;-1;2;1.5199999809265137;2020/12/25
Santa Maria Maggiore;103062;-1;4;3.0999999046325684;2020/12/25
Stresa;103064;-1;4;0.8199999928474426;2020/12/25
Toceno;103065;-1;1;1.3700000047683716;2020/12/25
Trarego Viggiona;103066;-1;0;0;2020/12/25
Trasquera;103067;-1;0;0;2020/12/25
Trontano;103068;-1;12;7.190000057220459;2020/12/25
Valstrona;103069;-1;1;0.8199999928474426;2020/12/25
Vanzone con San Carlo;103070;-1;0;0;2020/12/25
Varzo;103071;-1;4;1.9800000190734863;2020/12/25
Verbania;103072;-1;172;5.639999866485596;2020/12/25
Vignone;103074;-1;5;4.179999828338623;2020/12/25
Villadossola;103075;-1;19;2.9100000858306885;2020/12/25
Villette;103076;-1;2;7.190000057220459;2020/12/25
Vogogna;103077;-1;5;2.8499999046325684;2020/12/25
Borgomezzavalle;103078;-1;0;0;2020/12/25
Valle Cannobina;103079;-1;0;0;2020/12/25
Valdilana;096088;-1;40;3.700000047683716;2020/12/25
Quaregna Cerreto;096087;-1;3;1.4700000286102295;2020/12/25
